name,ingredients,preparation_time,cooking_time,total_time,image_url,source
Moroccan Harira Soup,"2 tablespoons extra-virgin olive oil, plus more for garnish 12 ounces boneless lamb shoulder, cut into 1/2 -inch pieces (Optional) 1 large yellow onion, diced 1 teaspoon kosher salt, divided, or to taste 1 ½ teaspoons smoked paprika 1 teaspoon ground coriander 1 teaspoon ground cumin ½ teaspoon ground ginger ½ teaspoon freshly ground black pepper ¼ teaspoon ground cinnamon 4 cloves garlic, minced 1 tablespoon tomato paste 4 cups chicken broth 1 (15 ounce) can crushed tomatoes 2 ribs celery with leaves, chopped 2 cups water, or to taste 1 (15 ounce) can chickpeas, drained ¾ cup green lentils, rinsed 1 tablespoon all-purpose flour 2 tablespoons cold water ½ cup chopped fresh cilantro, divided ½ cup chopped fresh parsley, divided ½ cup vermicelli, broken into 1/2-inch pieces ⅛ teaspoon cayenne pepper 1  lemon, juiced",39,117,156,,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/
Spicy Beef Stew with Moroccan Spice Rub,"1 pound beef stew meat, cut into 2-inch pieces 1 tablespoon ras el hanout, or more to taste 2 tablespoons olive oil 1  leek, halved lengthwise and thinly sliced crosswise 1 small onion, cut in half and thinly sliced 2 cloves garlic, minced 1  tomato, diced 1 cup diced pumpkin 2 tablespoons tomato paste, or more to taste 1 cup rose wine 2 cups beef stock 2 sprigs fresh rosemary 1 sprig fresh mint 1  bay leaf salt and ground black pepper to taste 1  parsnip, halved lengthwise and thickly sliced 1  carrot, halved lengthwise and thickly sliced 2 teaspoons lemon juice, or to taste (Optional) 2 teaspoons white sugar, or to taste (Optional)",120,36,156,https://www.allrecipes.com/thmb/g5MYatKSREJ9iiHENkgwgg0tZAY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/713184-b9003271190442299110ca32f8cf7290.jpg,https://www.allrecipes.com/recipe/277783/spicy-beef-stew-with-moroccan-spice-rub/
9 Recipes That Show Off the Zingy Flavor of Preserved Lemons,,6,108,114,,https://www.allrecipes.com/gallery/recipes-with-preserved-lemons/
Introduction to Moroccan Cuisine,,27,37,64,https://www.allrecipes.com/thmb/GulMgGsTGNhNJW6XfJVt8YzDYZE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/62808_Moroccan_Butternut_Squash_and_Chickpea_Stew_115_Meredith-2000-b0d14a1fd34e4889bb1502a790b73eb8.jpg,https://www.allrecipes.com/article/introduction-to-moroccan-cuisine/
Moroccan-Spiced Pork Roast,"1 (3 pound) boneless pork loin roast 5 teaspoons kosher salt 2 tablespoons olive oil 2 teaspoons ground cumin 1 teaspoon ground coriander 1 teaspoon ground ginger 1 teaspoon freshly ground black pepper 1 teaspoon smoked paprika ¼ teaspoon cayenne pepper ½ teaspoon ground cinnamon ¼ teaspoon ground cloves ¼ teaspoon ground allspice 3 tablespoons honey, or as needed 8  baby potatoes 2  carrots, cut into 2-inch chunks 2  Anaheim chile peppers, halved and seeded 1  red onion, roughly chopped 2 tablespoons olive oil salt to taste ½ cup plain Greek yogurt 2 tablespoons thinly sliced fresh mint 1 clove garlic, finely crushed",99,90,189,,https://www.allrecipes.com/recipe/277576/moroccan-spiced-pork-roast/
Moroccan Peach Roasted Chicken,"¼ cup margarine or butter ¼ cup honey 1 teaspoon rose water 1 teaspoon salt ground black pepper to taste 4 pounds bone-in chicken pieces, with skin 1 pound fresh peaches, pitted and sliced 1 tablespoon white sugar ½ cup toasted slivered almonds (Optional)",42,59,101,https://www.allrecipes.com/thmb/sv9tvQcq1F2rWC_8W5ExpkFRSI0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/172110-1d072e16b0a5448ca7f3a741c2cfc747.jpg,https://www.allrecipes.com/recipe/129218/moroccan-peach-roasted-chicken/
Moroccan Lentil Soup,"2  onions, chopped 2 cloves garlic, minced 1 teaspoon grated fresh ginger  6 cups water 1 cup red lentils 1 (15 ounce) can garbanzo beans, drained 1 (19 ounce) can cannellini beans 1 (14.5 ounce) can diced tomatoes ½ cup diced carrots ½ cup chopped celery 1 teaspoon garam masala 1 ½ teaspoons ground cardamom ½ teaspoon ground cayenne pepper ½ teaspoon ground cumin 1 tablespoon olive oil",109,44,153,https://www.allrecipes.com/thmb/PLckVWu-h1Z1l6GtC-lYFc-zzbg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262727-06dba02d1ee040bd977de8a8f69b4d8e.jpg,https://www.allrecipes.com/recipe/12960/moroccan-lentil-soup/
Vegetarian Moroccan Harira,"2 tablespoons vegetable oil 1 large onion, chopped 2 pounds tomatoes, diced 1 (15 ounce) can chickpeas, drained 1 bunch fresh cilantro, chopped 1 bunch fresh parsley, chopped 20  fresh mint leaves, chopped 1 teaspoon ground paprika 1 teaspoon ground turmeric 1 teaspoon ground ginger ½ teaspoon harissa 1 pinch saffron threads 4 cups water, or more to taste 1 tablespoon all-purpose flour 1 teaspoon cornstarch ½ cup cherry tomatoes, halved salt and ground black pepper to taste",54,51,105,,https://www.allrecipes.com/recipe/261701/vegetarian-moroccan-harira/
Instant Pot Moroccan Chicken Tagine,"2 tablespoons minced fresh garlic 1 ¼ teaspoons paprika ¾ teaspoon ground ginger ¾ teaspoon ground turmeric ⅛ teaspoon saffron powder 1 ½ pounds skinless, boneless chicken breasts, cut into bite-sized pieces 1  preserved lemon 2 tablespoons extra-virgin olive oil 2 tablespoons butter 2 medium red onions, sliced 1  cinnamon stick 1 cup pitted and halved Mediterranean olives 1 cup chicken broth 1 tablespoon chopped fresh flat-leaf parsley 1 tablespoon chopped fresh cilantro",84,74,158,https://www.allrecipes.com/thmb/PxLq3T1mWnvXdRSnDi4uJ78lA9w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6741502-c7f1b59d2cab4e4498856d9f569d3d69.jpg,https://www.allrecipes.com/recipe/274340/instant-pot-moroccan-chicken-tagine/
Chicken Tagine,"2 tablespoons olive oil 8  skinless, boneless chicken thighs, cut into 1-inch pieces 1  eggplant, cut into 1 inch cubes 2 large onions, thinly sliced 4 large carrots, thinly sliced ½ cup dried cranberries ½ cup chopped dried apricots 2 cups chicken broth 2 tablespoons tomato paste 2 tablespoons lemon juice 2 tablespoons all-purpose flour 2 teaspoons garlic salt 1 ½ teaspoons ground cumin 1 ½ teaspoons ground ginger 1 teaspoon cinnamon ¾ teaspoon ground black pepper 1 cup water 1 cup couscous",86,4,90,https://www.allrecipes.com/thmb/gd9Lao_rXUyAMz2qRKH7RYxoPV4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ChickenTagine_007-2000-d8c475500923438584e5e5398bd41225.jpg,https://www.allrecipes.com/recipe/180014/chicken-tagine/
